Campaign Name,Office,Start Date,End Date,date_dif,Status,Price Model,Goal budget,Volume booked,Price,Format,KPI,Impressions,Completes,Clicks,Conversions,Viewability,Budget Spent,Mediacost,Margin,Volume delivered,Achievement,Time,Trend,Rem. Volume,Rem. Day,Rem. Volume / day
Campaign 1,FR,01/01/2020,31/01/2020,30,Ended,CPC,7082.16,35410.80,0.20,All,TBD,88890.00,0,3299,0,0,659.80€,131.64 €,528.16€,3299,9.32%,100.00%,9%,32112,0,32112
Campaign 2,FR,02/01/2010,21/01/2020,3671,Ended,CPC,45000.00,128571.43,0.35,All,TBD,1210703.00,0,40907,0,0,14 317.45€,2 433.32 €,11 884.13€,40907,31.82%,100.00%,32%,87664,0,87664
Campaign 3,FR,13/01/2020,20/01/2020,7,Ended,CPC,3150.00,10500.00,0.30,All,TBD,241214.00,0,10507,0,0,3 150.00€,456.25 €,2 693.75€,10507,100.07%,100.00%,100%,-7,0,0
Campaign 4,FR,13/01/2020,20/01/2020,7,Ended,CPM,1322.09,165261.25,8.00,All,TBD,165307.00,0,6853,0,0,1 322.09€,257.57 €,1 064.52€,165307,100.03%,100.00%,100%,-46,0,0
Campaign 5,FR,13/01/2020,19/01/2020,6,Ended,CPC,1083.95,3097.00,0.35,All,TBD,487216.00,0,7568,0,0,1 083.95€,710.93 €,373.02€,7568,244.37%,100.00%,244%,-4471,0,0
Campaign 6,FR,15/01/2020,31/01/2020,16,Ended,CPC,12265.05,35043.00,0.35,All,TBD,1279348.00,0,35115,0,0,12 265.05€,1 836.50 €,10 428.55€,35115,100.21%,100.00%,100%,-72,0,0
Campaign 8,FR,01/01/2020,31/01/2020,30,Ended,CPV,21848.87,18207.39,1.20,All,TBD,5363144.00,0,87074,0,0,19 766.34€,7 274.97 €,12 491.37€,0,0.00%,100.00%,0%,18207,0,18207
Campaign 9,FR,01/01/2020,31/01/2020,30,Ended,CPC,14000.00,40000.00,0.35,All,TBD,2719782.00,0,40006,0,0,14 000.00€,2 987.01 €,11 012.99€,40006,100.02%,100.00%,100%,-6,0,0
Campaign 10,FR,02/01/2020,31/03/2020,89,Paused,CPC,33994.33,169972.00,0.20,Natif,TBD,39933207.00,0,99144,42,0,19 828.76€,13 587.88 €,6 240.88€,99144,58.33%,100.00%,58%,70828,0,70828
Campaign 11,FR,06/01/2020,31/01/2020,25,Ended,CPV,14000.00,21538.46,0.65,All,TBD,4686880.00,0,72975,0,0,14 010.47€,5 579.24 €,8 431.23€,0,0.00%,100.00%,0%,21538,0,21538
Campaign 12,FR,07/01/2020,31/01/2020,24,Ended,CPV,11000.00,15714.29,0.70,All,TBD,2270541.00,0,105698,0,0,9 796.80€,3 635.54 €,6 161.26€,0,0.00%,100.00%,0%,15714,0,15714
Campaign 13,FR,12/01/2020,31/01/2020,19,Ended,CPC,8587.50,28625.00,0.30,All,TBD,881132.00,0,28165,0,0,8 449.50€,1 211.76 €,7 237.74€,28165,98.39%,100.00%,98%,460,0,460
Campaign 14,FR,13/01/2020,31/01/2020,18,Ended,CPC,8129.00,27096.67,0.30,All,TBD,731689.00,0,26214,0,0,7 864.20€,986.51 €,6 877.69€,26214,96.74%,100.00%,97%,883,0,883
Campaign 15,FR,15/01/2020,31/01/2020,16,Ended,CPC,14055.00,46850.00,0.30,Display,TBD,1217038.00,0,46929,0,0,14 055.00€,1 846.78 €,12 208.22€,46929,100.17%,100.00%,100%,-79,0,0
Campaign 16,DE,07/01/2020,15/01/2020,8,Ended,CPM,15803.34,1128850.00,14.00,Display,TBD,1170477.00,0,13500,0,444319,15 803.34€,9 442.88 €,6 360.46€,1170477,103.69%,100.00%,104%,-41627,0,0
Campaign 17,FR Inter,23/01/2020,23/03/2020,60,Ended,CPM,10000.00,1428571.00,7.00,Display,TBD,1428286.00,0,61931,0,938331,9 998.00€,1 747.15 €,8 250.85€,1428286,99.98%,100.00%,100%,285,0,285
Campaign 18,DE,24/01/2020,08/02/2020,15,Ended,CPM,4699.06,551784.00,9.00,Display,TBD,623154.00,0,504,0,143273,4 699.06€,548.78 €,4 150.28€,623154,112.93%,100.00%,113%,-71370,0,0
Campaign 19,FR,02/01/2020,19/01/2020,17,Ended,CPM,20825.00,1735417.00,12.00,Vidéo,TBD,1736210.00,709971,2816,0,1512643,20 825.00€,412.80 €,20 412.20€,1736210,100.05%,100.00%,100%,-793,0,0
Campaign 20,FR,06/01/2020,26/01/2020,20,Ended,CPM,19000.00,2375000.00,8.00,Vidéo,Viewability,2373531.00,1688607,112069,0,2115938,18 988.25€,3 155.27 €,15 832.98€,2373531,99.94%,100.00%,100%,1469,0,1469
