geoName;code_map;arts;Automobile;Affaires;Carrieres;Education;famille;sante;alimentation;Loisirs;jardin;politique;Actualites;Finances;Societe;Science;Animaux;Sports;mode;technologie;voyage;Immobilier;shopping;;;;;;;;;;;;;;;;;;;;;;
Ain;fr-ara-ai;0;33;0;33;0;54;0;3;0;72;0;79;0;67;0;6;0;69;0;5;0;57;0;53;0;43;0;42;0;68;0;62;0;63;0;92;0;67;0;37;0;31;0;44
Aisne;fr-hdf-as;0;26;0;27;0;46;0;2;0;81;0;85;0;55;0;62;0;72;0;44;0;53;0;39;0;37;0;6;0;49;0;7;0;48;0;92;0;52;0;33;0;26;0;36
Allier;fr-ara-al;0;29;0;4;0;92;0;0;8;0;85;0;72;0;61;0;84;0;51;0;6;0;59;0;43;0;47;0;56;0;73;0;67;0;91;0;7;0;31;0;36;0;29;
Alpes-Maritimes;fr-pac-am;0;44;0;26;0;54;0;3;0;73;0;73;0;68;0;66;0;47;0;47;0;72;0;66;0;44;0;68;0;8;0;52;0;67;0;91;0;61;0;35;0;38;0;71
Alpes-de-Haute-Provence;fr-pac-ap;0;33;0;28;0;62;0;4;0;8;0;78;0;67;0;78;0;64;0;5;0;69;0;6;0;35;0;48;0;62;0;62;0;47;0;87;0;42;0;34;0;3;0;32
Ardennes;fr-ges-an;0;26;0;38;0;58;0;0;8;0;75;0;65;0;6;0;72;0;43;0;46;0;38;0;43;0;46;0;53;0;65;0;47;0;91;0;55;0;36;0;26;0;36;
Ardèche;fr-ara-ah;0;33;0;31;0;46;0;3;0;7;0;82;0;71;0;67;0;78;0;54;0;64;0;57;0;43;0;4;0;58;0;62;0;54;0;88;0;69;0;35;0;32;0;3
Ariège;fr-occ-ag;0;24;0;31;0;62;0;2;0;82;0;77;0;71;0;69;0;69;0;49;0;55;0;9;0;38;0;59;0;41;0;82;0;52;0;91;0;55;0;3;0;32;0;32
Aube;fr-ges-ab;0;31;0;35;0;59;0;2;0;74;0;77;0;54;0;6;0;83;0;4;0;54;0;41;0;42;0;41;0;61;0;61;0;54;0;9;0;71;0;31;0;36;0;46
Aude;fr-occ-ad;0;3;0;29;0;59;0;4;0;76;0;84;0;69;0;66;0;63;0;53;0;64;0;67;0;36;0;46;0;53;0;61;0;59;0;95;0;57;0;33;0;37;0;41
